package_name,github_owner,github_repo,commits_90d,commits_365d,commit_velocity_trend,contributors_total,contributors_90d,bus_factor,open_issues,closed_issues_90d,issue_response_time_median,days_since_last_release,release_frequency,release_regularity,weekly_downloads,download_trend,dependent_count,has_readme,has_license,repo_stars,repo_open_prs,days_since_last_commit,label
express,expressjs,express,18,88,0.8182,30,11,68.89,208,1,1.4,42,40.0,69.28,111539804,0.9159,0,1,1,69242,106,7,1
bootstrap,twbs,bootstrap,74,212,1.3962,30,7,47.82,448,1,0.0,301,35.75,24.37,6564754,0.8578,0,1,1,174386,157,0,1
antd,ant-design,ant-design,580,2436,0.9524,30,24,43.41,1329,1,0.0,1,9.0,9.25,3275491,0.9084,0,1,1,98452,123,0,1
koa,koajs,koa,17,44,1.5455,30,7,32.89,35,1,0.0,33,51.25,44.58,7885876,0.9257,0,1,1,35714,17,12,1
fastify,fastify,fastify,66,271,0.9742,30,29,23.25,152,1,0.0,70,9.75,9.5,8526716,0.8943,0,1,1,36573,79,0,1
swiper,nolimits4web,Swiper,24,90,1.0667,30,6,83.7,250,1,0.0,26,25.0,12.39,4522951,0.8705,0,1,1,41859,14,26,1
preact,preactjs,preact,11,116,0.3793,30,5,29.12,152,1,0.0,37,22.0,14.25,24174703,0.8566,0,1,1,38710,90,13,1
socket.io,socketio,socket.io,43,116,1.4828,30,7,55.29,176,1,131.64,181,137.25,168.31,15727136,0.8852,0,1,1,63200,12,6,1
@hapi/hapi,hapijs,hapi,4,17,0.9412,30,1,36.52,58,1,0.0,48,18.75,12.48,1663512,0.8802,0,1,1,14789,11,48,1
svelte,sveltejs,svelte,164,918,0.7146,30,25,54.68,1039,1,0.08,15,2.25,0.43,4727604,0.9644,0,1,1,87374,101,0,1
inferno,infernojs,inferno,6,38,0.6316,30,2,45.65,40,1,674.0,77,26.5,28.05,322647,0.7876,0,1,1,16420,1,30,1
admin-lte,ColorlibHQ,AdminLTE,60,154,1.5584,30,2,30.29,2,1,14.22,12,46.0,36.69,78513,0.855,0,1,1,45472,2,4,1
ant-design-vue,vueComponent,ant-design-vue,0,23,0.0,30,0,75.04,131,1,0.0,589,38.75,37.94,227107,0.8517,0,1,1,21568,19,9999,0
foundation-sites,foundation,foundation-sites,0,0,0.0,30,0,17.09,78,1,185.07,633,264.5,164.92,131421,0.8068,0,1,1,29779,16,9999,0
ng-zorro-antd,NG-ZORRO,ng-zorro-antd,72,354,0.8136,30,10,18.08,802,1,0.0,11,18.0,11.85,171592,0.8703,0,1,1,9153,62,1,1
ccxt,ccxt,ccxt,2147,7515,1.1428,30,8,48.61,1326,1,0.0,7,4.75,4.92,150269,0.6921,0,1,1,43029,509,0,1
egg,eggjs,egg,102,448,0.9107,30,7,22.85,426,1,0.0,0,20.75,35.37,37143,0.771,0,1,1,18993,54,0,1
single-spa,single-spa,single-spa,0,0,0.0,30,0,30.34,63,1,1283.88,274,8.5,11.93,467857,0.9005,0,1,1,13872,5,9999,0
@quasar/extras,quasarframework,quasar,646,857,3.0152,30,5,76.84,675,1,0.0,11,96.25,130.42,276513,0.8308,0,1,1,27182,134,6,1
riot,riot,riot,2,51,0.1569,30,1,67.95,4,1,98.04,44,50.5,42.86,16941,0.5999,0,1,1,14921,1,44,1
rtlcss,MohammadYounes,rtlcss,0,0,0.0,19,0,70.17,26,1,0.2,665,186.75,102.8,2276588,0.8349,0,1,1,1705,3,9999,0
@sailshq/express,strongloop,express,18,88,0.8182,30,11,68.89,208,1,1.4,3400,9999,9999,3176,0.8028,0,1,1,69242,106,7,1
@adonisjs/core,adonisjs,core,20,184,0.4348,30,2,90.25,12,1,0.0,18,16.5,3.91,131753,0.8427,0,1,1,18990,6,18,1
loopback,strongloop,loopback,0,0,0.0,30,0,35.57,18,1,1.53,2035,154.75,117.6,42752,0.8537,0,1,1,13162,1,9999,0
socket.io-client,socketio,socket.io-client,0,0,0.0,30,0,60.99,4,1,276.28,181,161.75,166.93,12813922,0.939,0,1,0,10601,4,9999,0
@middy/core,middyjs,middy,284,790,1.438,30,3,82.42,7,1,0.0,3,8.25,6.18,858223,0.9184,0,1,1,3901,4,3,1
daisyui,saadeghi,daisyui,61,505,0.4832,30,6,92.92,62,1,0.0,6,6.75,7.46,827467,0.8751,0,1,1,41159,6,1,1
hyperapp,jorgebucaran,hyperapp,0,0,0.0,30,0,87.0,14,0,0.07,1550,80.75,37.91,13395,0.8192,0,1,1,19207,3,9999,0
grommet,grommet,grommet,29,144,0.8056,30,11,31.44,423,1,0.0,18,50.5,16.38,36651,0.8861,0,1,1,8353,62,4,1
@tinyhttp/app,tinyhttp,tinyhttp,18,49,1.4694,30,2,28.77,10,1,0.11,68,18.0,27.29,366509,0.8932,0,1,1,2891,4,37,1
strapi,strapi,strapi,487,1241,1.5697,30,25,18.67,568,1,0.0,1309,114.75,76.23,12506,0.9133,0,1,1,72440,255,0,1
@udecode/plate-core,udecode,plate,362,1714,0.8448,30,7,53.33,10,1,0.0,377,8.75,10.18,252797,0.8387,0,1,1,16363,5,6,1
strapi-cli,wistityhq,strapi,487,1241,1.5697,30,25,18.67,568,1,0.0,3644,9999,9999,7,0.8248,0,1,1,72440,255,0,1
hexo,hexojs,hexo,16,51,1.2549,30,7,60.03,98,1,0.0,48,168.25,171.64,49625,0.8723,0,1,1,41768,26,30,1
@sailshq/connect,senchalabs,connect,0,0,0.0,30,0,63.3,13,0,274.32,3400,9999,9999,3171,0.8124,0,1,1,9888,5,9999,0
@benchmarkdigital/bmd-react-bootstrap,react-bootstrap,react-bootstrap,7,30,0.9333,30,4,16.19,220,1,0.0,1573,9999,9999,4,1.9053,0,1,1,22608,69,57,1
directus,directus,directus,203,890,0.9124,30,26,49.41,389,1,0.0,10,3.0,2.74,24529,0.7465,0,1,1,36177,42,3,1
hybrids,hybridsjs,hybrids,5,15,1.3333,19,1,97.33,9,1,1630.61,167,51.25,17.21,7374,1.0738,0,1,1,3176,1,7,1
restify,restify,node-restify,2,2,4.0,30,1,34.31,133,1,0.0,1105,52.0,34.86,88910,0.8772,0,1,1,10686,26,5,0
midway,midwayjs,midway,48,220,0.8727,30,5,54.01,110,1,0.0,1556,37.25,9.09,525,0.5547,0,1,1,7720,3,9,1
@coreui/coreui,coreui,coreui,38,109,1.3945,30,1,48.55,11,1,0.0,9,25.5,24.67,225516,0.8175,0,1,1,876,11,9,1
async,caolan,async,0,13,0.0,30,0,46.44,25,0,0.0,672,237.75,182.87,96728132,0.8912,0,1,1,28149,14,9999,0
classnames,JedWatson,classnames,6,36,0.6667,30,1,33.41,11,1,0.0,906,117.5,202.36,28638513,0.8989,0,1,1,17792,6,4,1
follow-redirects,follow-redirects,follow-redirects,2,9,0.8889,30,1,72.58,17,1,10.44,71,146.0,147.22,110052951,0.8618,0,1,1,582,1,71,1
bytes,visionmedia,bytes.js,0,0,0.0,17,0,74.55,10,0,0.0,1607,442.0,375.15,108457837,0.9093,0,1,1,475,5,9999,0
@sindresorhus/is,sindresorhus,is,12,19,2.5263,30,1,68.24,0,1,12.09,43,59.25,26.8,50519035,0.9395,0,1,1,1783,0,43,1
string.prototype.trimend,es-shims,String.prototype.trimEnd,6,7,3.4286,2,1,93.67,1,1,11.23,17,326.0,130.6,77686182,0.8763,0,1,1,5,0,17,1
string.prototype.trimstart,es-shims,String.prototype.trimStart,0,1,0.0,2,0,92.54,1,0,9.98,823,280.0,98.79,72876268,0.8602,0,1,1,4,0,9999,0
type-fest,sindresorhus,type-fest,33,140,0.9429,30,11,50.55,223,1,0.0,22,29.75,13.65,345695288,0.8993,0,1,1,17235,37,0,1
unist-util-visit,syntax-tree,unist-util-visit,0,8,0.0,14,0,91.71,0,0,1.34,151,395.0,316.73,51614739,0.8205,0,1,1,349,0,9999,0
unist-util-visit-parents,syntax-tree,unist-util-visit-parents,0,5,0.0,4,0,97.16,1,1,297.54,249,248.75,343.25,51478236,0.907,0,1,1,80,0,9999,0
unist-util-is,syntax-tree,unist-util-is,0,6,0.0,6,0,92.48,0,0,0.0,249,386.5,322.53,52170171,0.9004,0,1,1,44,0,9999,0
fb-watchman,facebook,watchman,201,696,1.1552,30,16,47.3,248,1,0.0,1370,515.25,514.29,46043149,0.892,0,1,1,13611,33,0,1
mdast-util-to-hast,syntax-tree,mdast-util-to-hast,0,6,0.0,29,0,89.35,0,0,2.86,211,209.0,194.24,38804273,0.9067,0,1,1,121,0,9999,0
hastscript,syntax-tree,hastscript,0,0,0.0,6,0,96.93,1,0,164.67,489,215.25,112.85,25571948,0.8389,0,1,1,199,1,9999,0
unist-util-stringify-position,syntax-tree,unist-util-stringify-position,0,0,0.0,3,0,96.04,0,0,0.0,1082,202.75,133.95,50249029,0.8148,0,1,1,6,0,9999,0
mdast-util-to-string,syntax-tree,mdast-util-to-string,0,0,0.0,4,0,95.49,0,0,1608.64,1081,201.0,255.13,45470295,0.8776,0,1,1,46,0,9999,0
vfile-message,vfile,vfile-message,0,11,0.0,5,0,94.26,1,0,2901.35,332,224.5,306.63,47233340,0.8919,0,1,1,10,0,9999,0
unist-builder,syntax-tree,unist-builder,0,0,0.0,3,0,86.59,0,0,6345.49,1082,333.25,217.57,3321867,0.8985,0,1,1,82,0,9999,0
escape-goat,sindresorhus,escape-goat,0,0,0.0,9,0,61.29,0,0,19.85,1894,182.0,161.51,12112329,0.889,0,1,1,551,0,9999,0
globby,sindresorhus,globby,2,37,0.2162,30,1,62.4,0,1,20.39,87,44.5,8.9,90182832,0.8218,0,1,1,2642,0,87,1
cli-progress,npkgz,cli-progress,0,0,0.0,16,0,78.57,26,0,0.0,1220,101.25,86.61,9420435,0.9148,0,1,1,1251,9,9999,0
vfile-location,vfile,vfile-location,0,0,0.0,3,0,95.87,0,0,4970.82,708,130.5,120.27,19556333,0.871,0,1,1,14,0,9999,0
hast-to-hyperscript,syntax-tree,hast-to-hyperscript,0,0,0.0,11,0,91.03,0,0,0.0,1049,208.25,204.52,1537950,0.8926,0,1,0,46,0,9999,0
unist-util-remove-position,syntax-tree,unist-util-remove-position,0,0,0.0,4,0,95.15,0,0,678.77,1082,271.25,167.0,13502403,0.8909,0,1,1,12,0,9999,0
unist-util-position,syntax-tree,unist-util-position,0,0,0.0,4,0,97.06,0,0,6.64,1082,195.75,119.92,37995739,0.9322,0,1,1,8,0,9999,0
@cypress/request,cypress-io,request,4,16,1.0,30,2,34.4,20,1,135.09,26,111.75,52.15,7895854,0.9117,0,1,1,14,11,26,1
hast-util-parse-selector,syntax-tree,hast-util-parse-selector,0,0,0.0,3,0,98.1,0,0,28.64,1057,250.25,218.59,25033217,0.8784,0,1,1,13,0,9999,0
hast-util-from-parse5,syntax-tree,hast-util-from-parse5,0,0,0.0,6,0,95.42,0,0,536.04,489,183.0,174.72,18249502,0.9035,0,1,1,17,0,9999,0
mdast-util-definitions,syntax-tree,mdast-util-definitions,0,0,0.0,4,0,95.74,0,0,714.21,1081,200.75,87.42,8829454,0.9113,0,1,1,11,0,9999,0
mdast-util-from-markdown,syntax-tree,mdast-util-from-markdown,3,7,1.7143,5,1,96.47,4,1,0.0,122,248.75,168.66,43305483,0.8748,0,1,1,284,2,19,1
unist-util-remove,syntax-tree,unist-util-remove,0,0,0.0,4,0,85.42,0,0,485.43,1082,205.75,201.11,2893386,0.9603,0,1,1,25,0,9999,0
hast-util-raw,syntax-tree,hast-util-raw,0,0,0.0,5,0,96.63,2,1,3.49,585,110.25,43.62,15372798,0.8689,0,1,1,12,1,9999,0
app-root-path,inxilpro,node-app-root-path,0,0,0.0,4,0,95.7,14,0,0.0,1407,378.0,383.48,5976691,1.1486,0,1,1,605,5,9999,0
hast-util-to-parse5,syntax-tree,hast-util-to-parse5,0,8,0.0,4,0,95.31,0,0,64.09,200,498.75,258.72,15384841,0.8685,0,1,1,2,0,9999,0
mdast-squeeze-paragraphs,syntax-tree,mdast-squeeze-paragraphs,0,0,0.0,5,0,79.38,0,0,0.0,1081,201.0,203.25,898062,0.8867,0,1,1,7,0,9999,0
micromark-util-html-tag-name,micromark,micromark,0,0,0.0,20,0,94.5,14,1,0.0,588,309.0,177.97,40069813,0.784,0,1,1,2188,7,9999,0
@discordjs/collection,discordjs,discord.js,26,289,0.3599,30,12,22.77,158,1,59.25,6,5.25,6.87,1827976,0.8904,0,1,1,26743,63,6,1
@ungap/promise-all-settled,ungap,promise-all-settled,0,0,0.0,1,0,100.0,0,0,6.84,2163,101.0,68.43,1561307,0.8906,0,1,1,15,0,9999,0
escape-html,component,escape-html,0,0,0.0,8,0,69.44,3,0,0.12,3948,276.0,163.44,91956404,0.9061,0,1,1,490,2,9999,0
mdast-util-to-markdown,syntax-tree,mdast-util-to-markdown,0,0,0.0,3,0,99.01,8,1,0.0,596,166.75,190.57,39405390,0.8339,0,1,1,139,4,9999,0
process-warning,fastify,process-warning,5,13,1.5385,18,4,36.54,0,1,0.0,476,113.75,82.27,41903388,0.8408,0,1,1,38,0,6,1
@csstools/postcss-progressive-custom-properties,csstools,postcss-plugins,175,645,1.0853,30,2,56.24,11,1,14.92,41,87.25,35.77,7390699,0.8617,0,1,1,1049,0,1,1
normalize-range,jamestalmage,normalize-range,0,0,0.0,2,0,92.31,1,0,0.0,3936,9999,9999,30797468,0.9437,0,1,1,18,1,9999,0
date-and-time,knowledgecode,date-and-time,31,108,1.1481,8,2,93.59,0,1,0.0,48,26.5,11.1,459623,0.8723,0,1,1,188,0,3,1
meros,maraisr,meros,0,5,0.0,9,0,91.04,0,0,272.01,284,322.75,250.76,7837689,0.9154,0,1,1,203,0,9999,0
prelude-ls,gkz,prelude-ls,1,1,4.0,12,1,81.66,31,0,0.0,2272,548.75,731.14,130807626,0.9029,0,1,1,426,15,39,0
hast-util-whitespace,syntax-tree,hast-util-whitespace,0,0,0.0,3,0,97.7,0,0,0.0,1057,381.25,157.99,36143343,0.8573,0,1,1,4,0,9999,0
meow,sindresorhus,meow,0,10,0.0,30,0,64.25,3,1,0.0,123,197.25,231.74,40038071,0.8926,0,1,1,3710,0,9999,0
utility,node-modules,utility,0,3,0.0,16,0,70.65,0,0,0.0,525,76.25,113.22,394619,0.9073,0,1,1,1240,0,9999,0
mdast-util-find-and-replace,syntax-tree,mdast-util-find-and-replace,0,0,0.0,4,0,94.44,0,0,0.18,536,225.75,147.91,29659503,0.8279,0,1,1,12,0,9999,0
koalas,doowb,koalas,0,0,0.0,2,0,97.62,0,0,318.26,3352,279.5,350.45,1910221,0.9678,0,1,1,9,0,9999,0
array-last,jonschlinkert,array-last,0,0,0.0,4,0,75.86,9,0,599.84,3127,270.75,171.12,1409663,0.9096,0,1,1,33,4,9999,0
rambda,selfrefactor,rambda,3,35,0.3429,30,1,83.03,0,1,50.74,39,43.0,35.81,2930904,0.9087,0,1,1,1755,0,39,1
mdast-util-gfm,syntax-tree,mdast-util-gfm,0,0,0.0,2,0,98.68,0,0,0.63,498,306.0,172.04,29672441,0.8993,0,1,1,23,0,9999,0
mdast-util-gfm-table,syntax-tree,mdast-util-gfm-table,1,1,4.0,3,1,96.2,1,1,8.69,1079,120.0,70.78,29843435,0.826,0,1,1,15,0,19,0
postman-request,postmanlabs,postman-request,0,28,0.0,30,0,29.59,2,0,0.0,158,22.75,16.69,1720574,0.8662,0,1,1,155,2,9999,0
